Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,18.25,18.25,18.25,18.25,18.25
05-19-2016,18.25,18.25,18.25,18.25,18.25
05-20-2016,18.25,18.25,18.25,18.25,18.25
05-20-2016,18.25,18.25,18.25,18.25,18.25
05-23-2016,18.25,18.25,18.25,18.25,18.25
05-24-2016,18.25,18.25,18.25,18.25,18.25
05-25-2016,18.25,18.25,18.25,18.25,18.25
05-26-2016,18.25,18.25,18.25,18.25,18.25
05-27-2016,18.25,18.25,18.25,18.25,18.25
05-30-2016,18.25,18.25,18.25,18.25,18.25
05-31-2016,18.25,18.25,18.25,18.25,18.25
06-01-2016,18.25,18.25,18.25,18.25,18.25
06-02-2016,18.25,18.25,18.25,18.25,18.25
06-04-2016,18.25,18.25,18.25,18.25,18.25
06-06-2016,18.25,18.25,18.25,18.25,18.25
06-07-2016,18.25,18.25,18.25,18.25,18.25
06-08-2016,18.25,18.20,18.20,17.95,18.10
06-09-2016,18.10,18.35,18.65,18.35,18.50
06-10-2016,18.10,18.35,18.65,18.35,18.50
06-13-2016,18.10,18.35,18.65,18.35,18.50
06-14-2016,18.10,18.35,18.65,18.35,18.50
06-15-2016,18.10,18.35,18.65,18.35,18.50
06-16-2016,18.10,18.35,18.65,18.35,18.50
06-17-2016,18.10,18.35,18.65,18.35,18.50
06-19-2016,18.10,18.35,18.65,18.35,18.50
06-21-2016,18.10,18.35,18.65,18.35,18.50
06-22-2016,18.50,18.20,18.20,18.15,18.15
06-23-2016,18.50,18.20,18.20,18.15,18.15
06-24-2016,18.50,18.20,18.20,18.15,18.15
06-27-2016,18.50,18.20,18.20,18.15,18.15
06-28-2016,18.50,18.20,18.20,18.15,18.15
06-29-2016,18.50,18.20,18.20,18.15,18.15
06-30-2016,18.15,18.35,18.40,18.35,18.40
07-01-2016,18.15,18.35,18.40,18.35,18.40
07-05-2016,18.40,18.25,18.25,18.25,18.25
07-05-2016,18.40,18.25,18.25,18.25,18.25
07-07-2016,18.40,18.25,18.25,18.25,18.25
07-08-2016,18.40,18.25,18.25,18.25,18.25
07-11-2016,18.40,18.25,18.25,18.25,18.25
07-12-2016,18.40,18.25,18.25,18.25,18.25
